Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-08-12,25.841170838735636,25.841170838735636,25.609491376043525,25.698598861694336,303700,12,3,32,8,1993
1993-08-13,25.71642380077753,25.752066799808407,25.71642380077753,25.73424530029297,103500,13,4,32,8,1993
1993-08-16,25.752069102831122,25.948105615032606,25.752069102831122,25.876819610595703,241800,16,0,33,8,1993
1993-08-17,25.85899051935933,25.965919494628906,25.85899051935933,25.965919494628906,369300,17,1,33,8,1993
1993-08-18,26.05503692626953,26.161965942382814,26.037215423583984,26.108501434326172,414300,18,2,33,8,1993
1993-08-19,26.126322937011718,26.126322937011718,26.07285842895508,26.108501434326172,28500,19,3,33,8,1993
1993-08-20,26.05503198069407,26.126317977905273,26.03721048139127,26.126317977905273,80700,20,4,33,8,1993
1993-08-23,26.01938668783609,26.090672678761667,26.01938668783609,26.072851181030273,15600,23,0,34,8,1993
1993-08-24,26.072861447698607,26.35800552368164,26.072861447698607,26.35800552368164,273400,24,1,34,8,1993
1993-08-25,26.358004377983715,26.482754905803784,26.32236137003512,26.375825881958008,242300,25,2,34,8,1993
1993-08-26,26.393638610839844,26.536210595233307,26.286709622544745,26.393638610839844,120000,26,3,34,8,1993
1993-08-27,26.32236137003512,26.375825881958008,26.32236137003512,26.375825881958008,25700,27,4,34,8,1993
1993-08-30,26.393657643252716,26.518408219554384,26.393657643252716,26.482765197753906,183500,30,0,35,8,1993
1993-08-31,26.464923884244573,26.554031372070312,26.429280889114278,26.554031372070312,66500,31,1,35,8,1993
1993-09-01,26.464914737209195,26.571843685642364,26.464914737209195,26.51837921142578,136500,1,2,35,9,1993
1993-09-02,26.536217881792393,26.571860887677943,26.411467361192965,26.429288864135742,472400,2,3,35,9,1993
1993-09-03,26.41146812284732,26.482754136674167,26.375825115933896,26.447111129760742,630500,3,4,35,9,1993
1993-09-07,26.447113057813294,26.482756067325173,26.233255000742027,26.268898010253906,196400,7,1,36,9,1993
1993-09-08,26.268892279119214,26.268892279119214,26.001569766102396,26.179784774780273,269900,8,2,36,9,1993
1993-09-09,26.07285994550456,26.251074982726056,26.07285994550456,26.233253479003906,239200,9,3,36,9,1993
1993-09-10,26.30453038071141,26.482745356190485,26.268887385615596,26.464923858642578,106500,10,4,36,9,1993
1993-09-13,26.55405124135486,26.55405124135486,26.482765197753906,26.482765197753906,66900,13,0,37,9,1993
